competition_count_by_season,season_id,competition_id,international_competitions,data
{'2015/2016': Decimal('1')},27,7,[],"{'competition_count_by_season': {'2015/2016': Decimal('1')}, 'season_name': '2015/2016', 'match_updated': '2024-01-07T06:23:44.277971', 'season_id': Decimal('27'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': None, 'competition_name': 'Ligue 1', 'competition_id': Decimal('7'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'France', 'match_available': '2024-01-07T06:23:44.277971'}"
{'2021/2022': Decimal('1')},108,7,[],"{'competition_count_by_season': {'2021/2022': Decimal('1')}, 'season_name': '2021/2022', 'match_updated': '2024-06-03T16:46:00.665854', 'season_id': Decimal('108'), 'competition_gender': 'male', 'match_available_360': '2024-06-03T16:49:55.355195', 'match_updated_360': '2024-06-03T16:49:55.355195', 'competition_name': 'Ligue 1', 'competition_id': Decimal('7'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'France', 'match_available': '2024-06-03T16:46:00.665854'}"
{'2022/2023': Decimal('1')},235,7,[],"{'competition_count_by_season': {'2022/2023': Decimal('1')}, 'season_name': '2022/2023', 'match_updated': '2024-06-11T00:50:53.277411', 'season_id': Decimal('235'), 'competition_gender': 'male', 'match_available_360': '2024-06-26T08:17:36.043856', 'match_updated_360': '2024-06-26T08:17:36.043856', 'competition_name': 'Ligue 1', 'competition_id': Decimal('7'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'France', 'match_available': '2024-06-11T00:50:53.277411'}"
{'2023': Decimal('1')},107,44,[],"{'competition_count_by_season': {'2023': Decimal('1')}, 'season_name': '2023', 'match_updated': '2024-07-14T18:53:28.735163', 'season_id': Decimal('107'), 'competition_gender': 'male', 'match_available_360': '2024-07-14T18:58:42.974543', 'match_updated_360': '2024-07-14T18:58:42.974543', 'competition_name': 'Major League Soccer', 'competition_id': Decimal('44'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'United States of America', 'match_available': '2024-07-14T18:53:28.735163'}"
{'1997/1998': Decimal('1')},48,81,[],"{'competition_count_by_season': {'1997/1998': Decimal('1')}, 'season_name': '1997/1998', 'match_updated': '2023-06-28T11:19:54.593488', 'season_id': Decimal('48'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': None, 'competition_name': 'Liga Profesional', 'competition_id': Decimal('81'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Argentina', 'match_available': '2023-06-28T11:19:54.593488'}"
{'1981': Decimal('1')},275,81,[],"{'competition_count_by_season': {'1981': Decimal('1')}, 'season_name': '1981', 'match_updated': '2023-12-05T14:19:40.272816', 'season_id': Decimal('275'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': None, 'competition_name': 'Liga Profesional', 'competition_id': Decimal('81'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Argentina', 'match_available': '2023-12-05T14:19:40.272816'}"
{'2015/2016': Decimal('1')},27,2,[],"{'competition_count_by_season': {'2015/2016': Decimal('1')}, 'season_name': '2015/2016', 'match_updated': '2024-06-12T07:43:56.243851', 'season_id': Decimal('27'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': '2021-06-13T16:17:31.694', 'competition_name': 'Premier League', 'competition_id': Decimal('2'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'England', 'match_available': '2024-06-12T07:43:56.243851'}"
{'2003/2004': Decimal('1')},44,2,[],"{'competition_count_by_season': {'2003/2004': Decimal('1')}, 'season_name': '2003/2004', 'match_updated': '2024-03-08T14:49:13.195793', 'season_id': Decimal('44'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': '2021-06-13T16:17:31.694', 'competition_name': 'Premier League', 'competition_id': Decimal('2'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'England', 'match_available': '2024-03-08T14:49:13.195793'}"
{'2020': Decimal('1')},43,55,"[{'match_available_360': '2024-04-16T12:47:18.505110', 'match_updated_360': '2024-04-16T12:47:18.505110', 'competition_name': 'UEFA Euro', 'season_name': '2020', 'match_updated': '2024-04-16T12:44:40.558402', 'competition_id': Decimal('55'), 'competition_international': True, 'competition_youth': False, 'country_name': 'Europe', 'season_id': Decimal('43'), 'competition_gender': 'male', 'match_available': '2024-04-16T12:44:40.558402'}]","{'competition_count_by_season': {'2020': Decimal('1')}, 'season_name': '2020', 'match_updated': '2024-04-16T12:44:40.558402', 'season_id': Decimal('43'), 'competition_gender': 'male', 'match_available_360': '2024-04-16T12:47:18.505110', 'match_updated_360': '2024-04-16T12:47:18.505110', 'competition_name': 'UEFA Euro', 'competition_id': Decimal('55'), 'competition_international': True, 'competition_youth': False, 'international_competitions': [{'match_available_360': '2024-04-16T12:47:18.505110', 'match_updated_360': '2024-04-16T12:47:18.505110', 'competition_name': 'UEFA Euro', 'season_name': '2020', 'match_updated': '2024-04-16T12:44:40.558402', 'competition_id': Decimal('55'), 'competition_international': True, 'competition_youth': False, 'country_name': 'Europe', 'season_id': Decimal('43'), 'competition_gender': 'male', 'match_available': '2024-04-16T12:44:40.558402'}], 'country_name': 'Europe', 'match_available': '2024-04-16T12:44:40.558402'}"
{'2024': Decimal('1')},282,55,"[{'match_available_360': '2024-07-15T15:52:24.778809', 'match_updated_360': '2024-07-15T15:52:24.778809', 'competition_name': 'UEFA Euro', 'season_name': '2024', 'match_updated': '2024-07-15T15:48:50.315500', 'competition_id': Decimal('55'), 'competition_international': True, 'competition_youth': False, 'country_name': 'Europe', 'season_id': Decimal('282'), 'competition_gender': 'male', 'match_available': '2024-07-15T15:48:50.315500'}]","{'competition_count_by_season': {'2024': Decimal('1')}, 'season_name': '2024', 'match_updated': '2024-07-15T15:48:50.315500', 'season_id': Decimal('282'), 'competition_gender': 'male', 'match_available_360': '2024-07-15T15:52:24.778809', 'match_updated_360': '2024-07-15T15:52:24.778809', 'competition_name': 'UEFA Euro', 'competition_id': Decimal('55'), 'competition_international': True, 'competition_youth': False, 'international_competitions': [{'match_available_360': '2024-07-15T15:52:24.778809', 'match_updated_360': '2024-07-15T15:52:24.778809', 'competition_name': 'UEFA Euro', 'season_name': '2024', 'match_updated': '2024-07-15T15:48:50.315500', 'competition_id': Decimal('55'), 'competition_international': True, 'competition_youth': False, 'country_name': 'Europe', 'season_id': Decimal('282'), 'competition_gender': 'male', 'match_available': '2024-07-15T15:48:50.315500'}], 'country_name': 'Europe', 'match_available': '2024-07-15T15:48:50.315500'}"
