match_id,index,under_pressure,location,player,timestamp,possession,period,team_id,player_id,play_pattern,related_events,minute,second,possession_team,possession_team_id,team,id,duration,dribble,position,type,out,off_camera
2275040,92,True,"[Decimal('34.2'), Decimal('17.3')]",Léa Le Garrec,00:02:12.548,9,1,965,31529,From Throw In,['14ded042-0911-4395-a045-b89b5832c108'],2,12,West Ham United LFC,972,Brighton & Hove Albion WFC,da8feb15-d314-438d-9f1d-0fcab0610731,0,"{'outcome': {'name': 'Incomplete', 'id': Decimal('9')}}",Center Attacking Midfield,Dribble,No existe,0.0
3754304,75,True,"[Decimal('86.4'), Decimal('35.2')]",James McArthur,00:01:21.649,6,1,31,3464,Regular Play,['66510d68-079f-46cb-b0ba-82219e805d8b'],1,21,Crystal Palace,31,Crystal Palace,3dc65177-01e6-41f3-a2d3-042b1b6d560f,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Left Defensive Midfield,Dribble,No existe,0.0
69175,167,True,"[Decimal('78.5'), Decimal('24.1')]",Samuel Eto''o Fils,00:02:56.738,7,1,217,19298,From Throw In,['709b90d0-95a3-458a-814c-b40787d4af17'],2,56,RC Deportivo La Coruña,219,Barcelona,77bfae8a-d0b5-4090-aaf7-1c53a3b639cd,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Center Forward,Dribble,No existe,0.0
22963,222,True,"[Decimal('62.6'), Decimal('3.2')]",Deneisha Selena Blackwood,00:05:03.766,13,1,1212,25557,From Keeper,['eb84282c-abe9-442a-9cb4-ab877694e9a4'],5,3,Jamaica Women's,1212,Jamaica Women's,8e8098b2-6252-4a20-91a0-e0a914dc7d53,0,"{'outcome': {'name': 'Incomplete', 'id': Decimal('9')}, 'nutmeg': True, 'overrun': True}",Left Back,Dribble,True,0.0
2275157,34,True,"[Decimal('105.7'), Decimal('13.3')]",Jackie Groenen,00:00:35.276,3,1,1475,10654,From Free Kick,['59b7d1da-7df5-4707-bb6d-535bd5176b4c'],0,35,Manchester United,1475,Manchester United,0e62ebec-07ca-411a-b6da-3e9e88946b69,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Center Attacking Midfield,Dribble,No existe,0.0
3829440,112,True,"[Decimal('103.5'), Decimal('63.6')]",Didier Ndong Ibrahim,00:05:40.107,11,1,165,22587,From Free Kick,"['483377e4-b2b5-4268-8b4e-015ea7baea5b', '4fb518e0-3798-4599-877a-67bc856ce8cc']",5,40,Lorient,165,Lorient,0f4d4e2a-ab72-4dc3-9c24-5a96222e84a3,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Right Midfield,Dribble,No existe,0.0
3879872,168,True,"[Decimal('74.1'), Decimal('10.3')]",Paul-José M''Poku Ebunge,00:02:27.022,8,1,231,18946,From Keeper,"['c2ca1efc-af58-40e6-9f37-4196621892f5', 'f0bb6598-a48c-4672-b4c9-a7344ccf4c22']",2,27,Chievo,231,Chievo,0c66e674-318c-41c5-910e-5a505f27b5a8,0,"{'outcome': {'name': 'Incomplete', 'id': Decimal('9')}, 'nutmeg': True}",Center Attacking Midfield,Dribble,No existe,0.0
3893826,71,True,"[Decimal('58.7'), Decimal('56.4')]",Francisca Ramos Ribeiro Nazareth Sousa,00:01:39.812,4,1,864,62913,From Throw In,['f46a6756-d553-4256-aaf3-f256d3a0a314'],1,39,Portugal Women's,864,Portugal Women's,c8ca5dae-9cf0-47aa-a8da-a807b9da60e7,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Center Attacking Midfield,Dribble,No existe,0.0
69158,54,True,"[Decimal('73.8'), Decimal('66.8')]",Fernando Soriano Marco,00:00:40.839,3,1,403,26435,Regular Play,['f045f836-de36-4c1b-9b68-486e1e7ee822'],0,40,Barcelona,217,Almería,77028a52-75a6-4a9f-bcd4-1b19096afe76,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Right Center Midfield,Dribble,No existe,0.0
3754272,61,True,"[Decimal('84.1'), Decimal('61.1')]",Bojan Krkíc Pérez,00:01:07.523,4,1,30,4913,From Throw In,['174bf88e-62e9-479b-a332-81a99cee6127'],1,7,Stoke City,30,Stoke City,ec4abddf-a27e-410d-9ee6-c21b2f8a4483,0,"{'outcome': {'name': 'Incomplete', 'id': Decimal('9')}}",Center Attacking Midfield,Dribble,No existe,0.0
